总价(万),单价(元/平米),房型,楼层,朝向,户型结构,装修情况,总面积,建造时间,小区名称,地区,是否有电梯,建筑结构,梯户比例,total_price,unit_price,total_area,build_year,community,district,room_cnt,hall_cnt,toilet_cnt,floor_level,floor_code,direction_clean,is_south_facing,decoration_type,decoration_score,area_range,house_age,age_range,price_level,elevator_num,household_num,density,is_valid
145.0,11241,3室2厅2卫,中楼层,南北,平层,其他,129.0,2013,湘江700,岳麓,有,钢混结构,其他,145.0,11241,129.0,2013,湘江700,岳麓,3,2,2,中楼层,2,南北通透,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
55.0,5842,3室2厅2卫,中楼层,东南,平层,简装,94.15,2013,才子城,望城,有,钢混结构,两梯四户,55.0,5842,94.15,2013,才子城,望城,3,2,2,中楼层,2,东南,1,简装,2,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
140.0,13483,3室2厅1卫,低楼层,南,平层,精装,103.84,2010,星城荣域,天心,有,钢混结构,两梯四户,140.0,13483,103.84,2010,星城荣域,天心,3,2,1,低楼层,1,正南,1,精装,3,中户型(90-144㎡),16,老房(11-20年),豪宅,,,,1
141.0,10470,3室2厅2卫,低楼层,南北,平层,精装,134.68,2006,富景园,天心,有,钢混结构,一梯两户,141.0,10470,134.68,2006,富景园,天心,3,2,2,低楼层,1,南北通透,1,精装,3,中户型(90-144㎡),20,老房(11-20年),豪宅,,,,1
236.0,18386,4室2厅2卫,高楼层,南,平层,精装,128.36,2016,旭辉国际广场,雨花,有,钢混结构,一梯两户,236.0,18386,128.36,2016,旭辉国际广场,雨花,4,2,2,高楼层,3,正南,1,精装,3,中户型(90-144㎡),10,次新房(6-10年),豪宅,,,,1
89.8,6380,4室2厅2卫,低楼层,南北,平层,毛坯,140.76,2013,荣盛城,长沙县,有,钢混结构,其他,89.8,6380,140.76,2013,荣盛城,长沙县,4,2,2,低楼层,1,南北通透,1,毛坯,1,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
92.8,10533,3室2厅1卫,高楼层,南北,平层,精装,88.11,2014,芒果雅苑,雨花,有,钢混结构,两梯六户,92.8,10533,88.11,2014,芒果雅苑,雨花,3,2,1,高楼层,3,南北通透,1,精装,3,小户型(<90㎡),12,老房(11-20年),豪宅,,,,1
162.0,13858,3室2厅2卫,中楼层,东南,平层,毛坯,116.9,2013,中建钰和城,天心,有,钢混结构,其他,162.0,13858,116.9,2013,中建钰和城,天心,3,2,2,中楼层,2,东南,1,毛坯,1,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
18.0,3624,2室1厅1卫,低楼层,南,平层,毛坯,49.68,2013,大汉月亮河畔,望城,有,钢混结构,六梯二十四户,18.0,3624,49.68,2013,大汉月亮河畔,望城,2,1,1,低楼层,1,正南,1,毛坯,1,小户型(<90㎡),13,老房(11-20年),豪宅,6.0,24.0,4.0,1
52.8,5725,2室2厅1卫,低楼层,南,平层,其他,92.24,2013,鑫天山城明珠,天心,有,钢混结构,其他,52.8,5725,92.24,2013,鑫天山城明珠,天心,2,2,1,低楼层,1,正南,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
74.0,8315,3室2厅1卫,中楼层,南,平层,精装,89.0,2014,保利香槟国际,长沙县,有,钢混结构,两梯四户,74.0,8315,89.0,2014,保利香槟国际,长沙县,3,2,1,中楼层,2,正南,1,精装,3,小户型(<90㎡),12,老房(11-20年),豪宅,,,,1
150.0,15005,3室2厅1卫,中楼层,南,平层,精装,99.97,2016,建发中央公园,雨花,有,钢混结构,两梯四户,150.0,15005,99.97,2016,建发中央公园,雨花,3,2,1,中楼层,2,正南,1,精装,3,中户型(90-144㎡),10,次新房(6-10年),豪宅,,,,1
70.0,8938,2室2厅1卫,高楼层,南,平层,其他,78.32,2014,芒果雅苑,雨花,有,钢混结构,四梯十五户,70.0,8938,78.32,2014,芒果雅苑,雨花,2,2,1,高楼层,3,正南,1,其他,0,小户型(<90㎡),12,老房(11-20年),豪宅,4.0,15.0,3.75,1
135.0,9826,4室2厅2卫,高楼层,南,平层,其他,137.4,2013,中建嘉和城,雨花,有,钢混结构,两梯三户,135.0,9826,137.4,2013,中建嘉和城,雨花,4,2,2,高楼层,3,正南,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
70.0,5882,4室2厅2卫,高楼层,南北,平层,其他,119.01,2018,凯富南方鑫城,天心,有,钢混结构,其他,70.0,5882,119.01,2018,凯富南方鑫城,天心,4,2,2,高楼层,3,南北通透,1,其他,0,中户型(90-144㎡),8,次新房(6-10年),豪宅,,,,1
86.0,9671,3室2厅1卫,高楼层,南,平层,简装,88.93,2011,珠江花城三期,开福,有,钢混结构,两梯四户,86.0,9671,88.93,2011,珠江花城三期,开福,3,2,1,高楼层,3,正南,1,简装,2,小户型(<90㎡),15,老房(11-20年),豪宅,,,,1
65.8,6327,3室2厅1卫,低楼层,南,平层,精装,104.0,2011,锦璨家园,长沙县,有,钢混结构,三梯八户,65.8,6327,104.0,2011,锦璨家园,长沙县,3,2,1,低楼层,1,正南,1,精装,3,中户型(90-144㎡),15,老房(11-20年),豪宅,3.0,8.0,2.6666666666666665,1
75.0,7983,3室1厅1卫,高楼层,南,平层,精装,93.95,2013,中海国际社区一期,岳麓,有,钢混结构,两梯四户,75.0,7983,93.95,2013,中海国际社区一期,岳麓,3,1,1,高楼层,3,正南,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
99.0,8462,3室2厅2卫,中楼层,南,平层,简装,117.0,2013,凤凰城（三期）紫云府,长沙县,有,钢混结构,两梯四户,99.0,8462,117.0,2013,凤凰城（三期）紫云府,长沙县,3,2,2,中楼层,2,正南,1,简装,2,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
86.0,10125,3室1厅1卫,中楼层,东南,平层,精装,84.94,2013,新华联梦想城,望城,有,钢混结构,其他,86.0,10125,84.94,2013,新华联梦想城,望城,3,1,1,中楼层,2,东南,1,精装,3,小户型(<90㎡),13,老房(11-20年),豪宅,,,,1
70.0,6587,3室2厅2卫,高楼层,南,平层,毛坯,106.27,2016,澳海澜庭,望城,有,钢混结构,三梯四户,70.0,6587,106.27,2016,澳海澜庭,望城,3,2,2,高楼层,3,正南,1,毛坯,1,中户型(90-144㎡),10,次新房(6-10年),豪宅,3.0,4.0,1.3333333333333333,1
498.0,21747,4室2厅3卫,低楼层,南北,平层,其他,229.0,2012,运达中央广场,雨花,有,钢混结构,两梯两户,498.0,21747,229.0,2012,运达中央广场,雨花,4,2,3,低楼层,1,南北通透,1,其他,0,大户型(>144㎡),14,老房(11-20年),豪宅,,,,1
84.8,9734,2室2厅1卫,高楼层,南,平层,其他,87.12,2013,时代倾城,望城,有,钢混结构,两梯四户,84.8,9734,87.12,2013,时代倾城,望城,2,2,1,高楼层,3,正南,1,其他,0,小户型(<90㎡),13,老房(11-20年),豪宅,,,,1
132.0,12252,3室2厅2卫,中楼层,东南,平层,精装,107.74,2013,阳光城溪山悦,岳麓,有,钢混结构,其他,132.0,12252,107.74,2013,阳光城溪山悦,岳麓,3,2,2,中楼层,2,东南,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
126.0,10114,3室2厅2卫,高楼层,北南,平层,简装,124.59,2015,珠江郦城探香里,开福,有,钢混结构,两梯四户,126.0,10114,124.59,2015,珠江郦城探香里,开福,3,2,2,高楼层,3,北,1,简装,2,中户型(90-144㎡),11,老房(11-20年),豪宅,,,,1
135.0,10646,4室2厅2卫,低楼层,东南,平层,其他,126.81,2013,鑫远悦城,天心,有,框架结构,两梯四户,135.0,10646,126.81,2013,鑫远悦城,天心,4,2,2,低楼层,1,东南,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
72.0,9305,2室2厅1卫,高楼层,南,平层,其他,77.38,2012,金土地第一湾,开福,有,钢混结构,三梯十五户,72.0,9305,77.38,2012,金土地第一湾,开福,2,2,1,高楼层,3,正南,1,其他,0,小户型(<90㎡),14,老房(11-20年),豪宅,3.0,15.0,5.0,1
37.0,5714,2室1厅1卫,中楼层,南,平层,精装,64.76,2004,信和苑一区,雨花,有,钢混结构,其他,37.0,5714,64.76,2004,信和苑一区,雨花,2,1,1,中楼层,2,正南,1,精装,3,小户型(<90㎡),22,老旧房(>20年),豪宅,,,,1
72.0,8880,2室2厅1卫,高楼层,南,平层,毛坯,81.09,2013,牛力家园,岳麓,有,钢混结构,其他,72.0,8880,81.09,2013,牛力家园,岳麓,2,2,1,高楼层,3,正南,1,毛坯,1,小户型(<90㎡),13,老房(11-20年),豪宅,,,,1
81.8,9494,2室1厅1卫,中楼层,南,平层,精装,86.16,2004,鑫天鑫城,雨花,有,钢混结构,一梯三户,81.8,9494,86.16,2004,鑫天鑫城,雨花,2,1,1,中楼层,2,正南,1,精装,3,小户型(<90㎡),22,老旧房(>20年),豪宅,1.0,3.0,3.0,1
112.0,9820,3室2厅2卫,低楼层,南,平层,精装,114.06,2016,恒大江湾,芙蓉,有,钢混结构,其他,112.0,9820,114.06,2016,恒大江湾,芙蓉,3,2,2,低楼层,1,正南,1,精装,3,中户型(90-144㎡),10,次新房(6-10年),豪宅,,,,1
109.0,8383,3室2厅2卫,高楼层,南北,平层,简装,130.04,2003,南天花园,开福,有,钢混结构,其他,109.0,8383,130.04,2003,南天花园,开福,3,2,2,高楼层,3,南北通透,1,简装,2,中户型(90-144㎡),23,老旧房(>20年),豪宅,,,,1
158.0,11913,4室2厅2卫,低楼层,南,平层,精装,132.63,2013,建工·象山国际,岳麓,有,钢混结构,其他,158.0,11913,132.63,2013,建工·象山国际,岳麓,4,2,2,低楼层,1,正南,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
56.0,8165,3室1厅1卫,高楼层,南,平层,精装,68.59,2017,新长海广场,长沙县,有,钢混结构,四梯五户,56.0,8165,68.59,2017,新长海广场,长沙县,3,1,1,高楼层,3,正南,1,精装,3,小户型(<90㎡),9,次新房(6-10年),豪宅,4.0,5.0,1.25,1
52.0,8270,2室2厅1卫,高楼层,南北,平层,其他,62.88,2013,才子嘉都,天心,有,未知结构,两梯十二户,52.0,8270,62.88,2013,才子嘉都,天心,2,2,1,高楼层,3,南北通透,1,其他,0,小户型(<90㎡),13,老房(11-20年),豪宅,,,,1
65.0,5675,3室2厅2卫,高楼层,南,平层,精装,114.54,2019,中安善化国际,长沙县,有,钢混结构,两梯三户,65.0,5675,114.54,2019,中安善化国际,长沙县,3,2,2,高楼层,3,正南,1,精装,3,中户型(90-144㎡),7,次新房(6-10年),豪宅,,,,1
308.0,20926,4室2厅2卫,高楼层,南北,平层,精装,147.19,2013,绿地麓湖郡,岳麓,有,钢混结构,一梯两户,308.0,20926,147.19,2013,绿地麓湖郡,岳麓,4,2,2,高楼层,3,南北通透,1,精装,3,大户型(>144㎡),13,老房(11-20年),豪宅,,,,1
266.0,18709,4室2厅2卫,中楼层,南,平层,其他,142.18,2013,中海阅麓山,岳麓,有,钢混结构,其他,266.0,18709,142.18,2013,中海阅麓山,岳麓,4,2,2,中楼层,2,正南,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
42.0,8088,1室1厅1卫,中楼层,东,平层,其他,51.93,2013,美林银谷国际社区,岳麓,有,钢混结构,三梯十八户,42.0,8088,51.93,2013,美林银谷国际社区,岳麓,1,1,1,中楼层,2,东,0,其他,0,小户型(<90㎡),13,老房(11-20年),豪宅,3.0,18.0,6.0,1
174.0,11117,4室2厅2卫,中楼层,南北,平层,其他,156.53,2010,科大佳园北苑,开福,有,钢混结构,两梯两户,174.0,11117,156.53,2010,科大佳园北苑,开福,4,2,2,中楼层,2,南北通透,1,其他,0,大户型(>144㎡),16,老房(11-20年),豪宅,,,,1
